,,Females,,Males,,,
,,Uterine_leiomyoma,Uterine_leiomyoma,Uterine_leiomyoma,Uterine_leiomyoma,,
,level,FALSE:0,TRUE:0,FALSE:1,TRUE:1,p,test
n,,181903,8421,149049,2,,
218.1 (%),FALSE, 181903 (100.0) ,      0 (  0.0) , 149049 (100.0) ,      0 (  0.0) ,<0.001,
,TRUE,      0 (  0.0) ,   8421 (100.0) ,      0 (  0.0) ,      2 (100.0) ,,
218 (%),FALSE, 181692 ( 99.9) ,      0 (  0.0) , 149049 (100.0) ,      0 (  0.0) ,<0.001,
,TRUE,    211 (  0.1) ,   8421 (100.0) ,      0 (  0.0) ,      2 (100.0) ,,
age (mean (SD)),,  57.10 (7.97),  53.50 (7.21),  58.04 (7.91),  51.50 (4.95),<0.001,
age2 (mean (SD)),,3324.12 (886.40),2914.04 (779.01),3431.46 (886.07),2664.50 (509.82),<0.001,
SEX (%),0, 181903 (100.0) ,   8421 (100.0) ,      0 (  0.0) ,      0 (  0.0) ,<0.001,
,1,      0 (  0.0) ,      0 (  0.0) , 149049 (100.0) ,      2 (100.0) ,,
rs4077469_T (%),0,  66801 ( 37.0) ,   3303 ( 39.5) ,  54189 ( 36.6) ,      1 ( 50.0) ,<0.001,
,1,  85925 ( 47.6) ,   3850 ( 46.1) ,  70756 ( 47.8) ,      1 ( 50.0) ,,
,2,  27814 ( 15.4) ,   1199 ( 14.4) ,  22993 ( 15.5) ,      0 (  0.0) ,,
