"","level","FALSE:0","TRUE:0","FALSE:1","TRUE:1","p","test"
"n",""," 135005","  10629"," 106588","  10701","",""
"530.1 (%)","FALSE"," 135005 (100.0) ","    792 (  7.5) "," 106588 (100.0) ","    851 (  8.0) ","<0.001",""
"","TRUE","      0 (  0.0) ","   9837 ( 92.5) ","      0 (  0.0) ","   9850 ( 92.0) ","",""
"530 (%)","FALSE"," 135005 (100.0) ","      0 (  0.0) "," 106588 (100.0) ","      0 (  0.0) ","<0.001",""
"","TRUE","      0 (  0.0) ","  10629 (100.0) ","      0 (  0.0) ","  10701 (100.0) ","",""
"age (mean (SD))","","  57.20 (7.84)","  59.32 (7.00)","  58.38 (7.75)","  59.05 (7.45)","<0.001",""
"age2 (mean (SD))","","3333.37 (873.28)","3568.19 (796.96)","3468.47 (871.07)","3542.43 (843.21)","<0.001",""
"gender (%)","1","      0 (  0.0) ","      0 (  0.0) "," 106588 (100.0) ","  10701 (100.0) ","<0.001",""
"","2"," 135005 (100.0) ","  10629 (100.0) ","      0 (  0.0) ","      0 (  0.0) ","",""
"SEX (%)","0"," 135005 (100.0) ","  10629 (100.0) ","      0 (  0.0) ","      0 (  0.0) ","<0.001",""
"","1","      0 (  0.0) ","      0 (  0.0) "," 106588 (100.0) ","  10701 (100.0) ","",""
"rs17497684_C (%)","0","  87583 ( 64.9) ","   6737 ( 63.4) ","  69010 ( 64.7) ","   6720 ( 62.8) ","<0.001",""
"","1","  42242 ( 31.3) ","   3474 ( 32.7) ","  33517 ( 31.4) ","   3551 ( 33.2) ","",""
"","2","   5180 (  3.8) ","    418 (  3.9) ","   4061 (  3.8) ","    430 (  4.0) ","",""
