"","phecode","description","group","snp","adjustment","beta","SE","OR","p","type","n_total","n_cases","n_controls","HWE_p","allele_freq","n_no_snp","note","bonferroni"
"840","733.6","Costochondritis","musculoskeletal","rs5905176_G",NA,0.719423920028468,0.201598497670096,2.05325003365339,0.00035889712298922,"logistic",145505,49,145456,0.92378469742926,0.326480189684203,510,"",FALSE
"83","382","Otalgia","sense organs","rs5905176_G",NA,-0.578391794058236,0.182646340230862,0.560799522873538,0.00154162948623587,"logistic",145505,89,145416,0.92378469742926,0.326480189684203,510,"",FALSE
"751","689","Disorder of skin and subcutaneous tissue NOS","dermatologic","rs5905176_G",NA,-0.102422774753989,0.0326277118071036,0.902647854264023,0.00169447671645337,"logistic",145505,2243,143262,0.92378469742926,0.326480189684203,510,"",FALSE
"1125","317.1","Alcoholism","mental disorders","rs5905176_G",NA,0.433550030647733,0.138487570503247,1.54272453315457,0.0017444598134612,"logistic",145505,106,145399,0.92378469742926,0.326480189684203,510,"",FALSE
"993","707.2","Chronic ulcer of leg or foot","dermatologic","rs5905176_G",NA,0.390416317883036,0.137765027536464,1.47759581541338,0.0045979534717076,"logistic",145505,108,145397,0.92378469742926,0.326480189684203,510,"",FALSE
"913","358.1","Myasthenia gravis","neurological","rs5905176_G",NA,0.593244865239944,0.210743449142348,1.80985162221369,0.00487757532191425,"logistic",145505,45,145460,0.92378469742926,0.326480189684203,510,"",FALSE
"39","358","Myoneural disorders","neurological","rs5905176_G",NA,0.560078662901602,0.204352474519871,1.75081021869132,0.00612994771577098,"logistic",145505,48,145457,0.92378469742926,0.326480189684203,510,"",FALSE
"1075","531.2","Gastric ulcer","digestive","rs5905176_G",NA,0.11799519136945,0.0457437854870619,1.12523870049714,0.00989491155921413,"logistic",145505,1052,144453,0.92378469742926,0.326480189684203,510,"",FALSE
"1094","741.4","Joint effusions","musculoskeletal","rs5905176_G",NA,-0.246947222474641,0.0980533517550656,0.781181921292079,0.0117856374744067,"logistic",145505,261,145244,0.92378469742926,0.326480189684203,510,"",FALSE
"1054","738.4","Acquired spondylolisthesis","musculoskeletal","rs5905176_G",NA,0.184326567940831,0.0733770502835193,1.20240842703094,0.0120033245261378,"logistic",145505,399,145106,0.92378469742926,0.326480189684203,510,"",FALSE
