,,Females,,Males,,,
,,Uterine_leiomyoma,Uterine_leiomyoma,Uterine_leiomyoma,Uterine_leiomyoma,,
,level,FALSE:0,TRUE:0,FALSE:1,TRUE:1,p,test
n,,140237,5778,117591,1,,
218.1 (%),FALSE, 140237 (100.0) ,      0 (  0.0) , 117591 (100.0) ,      0 (  0.0) ,<0.001,
,TRUE,      0 (  0.0) ,   5778 (100.0) ,      0 (  0.0) ,      1 (100.0) ,,
218 (%),FALSE, 140078 ( 99.9) ,      0 (  0.0) , 117591 (100.0) ,      0 (  0.0) ,<0.001,
,TRUE,    159 (  0.1) ,   5778 (100.0) ,      0 (  0.0) ,      1 (100.0) ,,
age (mean (SD)),,  57.48 (7.80),  54.35 (7.13),  58.44 (7.73),  55.00 (NA), NA,
age2 (mean (SD)),,3364.56 (870.80),3005.19 (776.07),3475.47 (868.88),3025.00 (NA), NA,
gender (%),1,      0 (  0.0) ,      0 (  0.0) , 117591 (100.0) ,      1 (100.0) ,<0.001,
,2, 140237 (100.0) ,   5778 (100.0) ,      0 (  0.0) ,      0 (  0.0) ,,
SEX (%),0, 140237 (100.0) ,   5778 (100.0) ,      0 (  0.0) ,      0 (  0.0) ,<0.001,
,1,      0 (  0.0) ,      0 (  0.0) , 117591 (100.0) ,      1 (100.0) ,,
rs4077469_T (%),0,  51055 ( 36.7) ,   2138 ( 37.3) ,  42657 ( 36.5) ,      1 (100.0) ,0.735,
,1,  66737 ( 47.9) ,   2709 ( 47.3) ,  56100 ( 48.1) ,      0 (  0.0) ,,
,2,  21420 ( 15.4) ,    880 ( 15.4) ,  17958 ( 15.4) ,      0 (  0.0) ,,
